Chick ID ,band.n,nest,clutch.size,hatch.date,band.date,day,wing,tail,tarsus,post.cul.length,ant.cul.length,ant.cul.depth,ant.cul.width,digital weight,pin.length,feather.length,feather.total.length,feathered.ratio,Day of pin break ,Mainland or Island,,
R1,12181,1,,,1,8,33,,17.1,,,,,10,,,,,,0,,
R1,12181,1,,,1,6,23.1,,14.5,,,,,9,,,,,,0,,
R1,12181,1,,,1,4,12.3,,11.1,,,,,5,,,,,,0,,
R1,12181,1,,,1,2,6.2,,7.5,,,,,3,,,,,,0,,
L1,12178,3,,,3,8,41,,19.1,,,,,11,,,,,,0,,
R1,12177,3,,,3,8,39,,18.5,,,,,11,,,,,,0,,
R2,12176,3,,,3,8,41,,18.8,,,,,11.5,,,,,,0,,
L1,12178,3,,,3,6,31.6,,17.9,,,,,11,,,,,,0,,
R1,12177,3,,,3,6,28.7,,16.7,,,,,10,,,,,,0,,
R2,12176,3,,,3,6,32,,17.4,,,,,10,,,,,,0,,
L1,12178,3,,,3,4,22.6,,14.9,,,,,9,,,,,,0,,
R1,12177,3,,,3,4,18.8,,13.7,,,,,8,,,,,,0,,
R2,12176,3,,,3,4,22.4,,14.6,,,,,8,,,,,,0,,
L1,12178,3,,,3,2,11,,11.3,,,,,5.5,,,,,,0,,
R1,12177,3,,,3,2,10,,11.2,,,,,4.5,,,,,,0,,
R2,12176,3,,,3,2,11.8,,11.6,,,,,5.5,,,,,,0,,
L1,12183,6,,,6,8,26,,13.1,,,,,8.5,,,,,,0,,
R1,12184,6,,,6,8,29,,15.6,,,,,10.5,,,,,,0,,
L1,12183,6,,,6,6,14.6,,11,,,,,6.5,,,,,,0,,
R1,12184,6,,,6,6,16.8,,12.8,,,,,8.5,,,,,,0,,
L1,12183,6,,,6,4,9.3,,8.7,,,,,4.5,,,,,,0,,
R1,12184,6,,,6,4,9.5,,9.6,,,,,5,,,,,,0,,
L1,12183,6,,,6,2,5.2,,6.7,,,,,2.5,,,,,,0,,
R1,12184,6,,,6,2,6.7,,6.7,,,,,2.5,,,,,,0,,
R1,12186,9,,,9,8,28,,16.8,,,,,8,,,,,,0,,
R1,12186,9,,,9,7,25.8,,15.8,,,,,7.5,,,,,,0,,
R1,12186,9,,,9,4,18.5,,11.4,,,,,7,,,,,,0,,
R1,12186,9,,,9,2,11.8,,11.4,,,,,4.5,,,,,,0,,
L1,12187,10,,,10,8,25.3,,16.1,,,,,9,,,,,,0,,
R1,12188,10,,,10,8,27.8,,15.7,,,,,9,,,,,,0,,
L1,12187,10,,,10,6,19.1,,14.3,,,,,7,,,,,,0,,
R1,12188,10,,,10,6,20.5,,13.9,,,,,7.5,,,,,,0,,
L1,12187,10,,,10,4,12.8,,11.6,,,,,6,,,,,,0,,
R1,12188,10,,,10,4,14.6,,12.8,,,,,6,,,,,,0,,
L1,12187,10,,,10,2,8.5,,8.8,,,,,3.5,,,,,,0,,
R1,12188,10,,,10,2,9.7,,9.3,,,,,4,,,,,,0,,
R1,12198,16,,,16,8,35.4,,18.7,,,,,10,,,,,,0,,
R1,12198,16,,,16,6,28.6,,17,,,,,10.5,,,,,,0,,
R1,12198,16,,,16,4,18.8,,13.2,,,,,8,,,,,,0,,
R1,12198,16,,,16,2,9.7,,9,,,,,4,,,,,,0,,
R1,12193,19,,,19,8,35.6,,17.9,,,,,11,,,,,,0,,
R1,12193,19,,,19,6,24.4,,16,,,,,9.5,,,,,,0,,
R1,12193,19,,,19,4,13.8,,12.5,,,,,6,,,,,,0,,
R1,12193,19,,,19,2,6.8,,8.5,,,,,3.5,,,,,,0,,
L1,12208,20,,,20,8,37.8,,18.7,,,,,9.5,,,,,,0,,
R1,12207,20,,,20,8,35.6,,18.2,,,,,8,,,,,,0,,
R2,12197,20,,,20,8,36.1,,18.2,,,,,10.5,,,,,,0,,
L1,12208,20,,,20,6,29.8,,17.1,,,,,10,,,,,,0,,
R1,12207,20,,,20,6,26.7,,16.5,,,,,9,,,,,,0,,
R2,12197,20,,,20,6,27.9,,16.4,,,,,9.5,,,,,,0,,
L1,12208,20,,,20,4,19.9,,14.3,,,,,7.5,,,,,,0,,
R1,12207,20,,,20,4,17.1,,12.9,,,,,7,,,,,,0,,
R2,12197,20,,,20,4,17.3,,13.4,,,,,7,,,,,,0,,
L1,12208,20,,,20,2,10.6,,10.6,,,,,6,,,,,,0,,
R1,12207,20,,,20,2,8.8,,9.7,,,,,4.5,,,,,,0,,
R2,12197,20,,,20,2,9.5,,9.1,,,,,5.5,,,,,,0,,
R1,12185,22,,,22,8,37,,18.6,,,,,10.5,,,,,,0,,
R1,12185,22,,,22,7,32.1,,18.4,,,,,9,,,,,,0,,
R1,12185,22,,,22,4,22.7,,15.5,,,,,8,,,,,,0,,
R1,12185,22,,,22,2,12.2,,11.7,,,,,6,,,,,,0,,
L1,12199,24,,,24,8,27.8,,16,,,,,8.5,,,,,,0,,
R1,12200,24,,,24,8,34.6,,18.2,,,,,11,,,,,,0,,
L1,12199,24,,,24,6,17.4,,13,,,,,6.5,,,,,,0,,
R1,12200,24,,,24,6,25.6,,16.2,,,,,9.5,,,,,,0,,
L1,12199,24,,,24,4,9.7,,9.3,,,,,4,,,,,,0,,
R1,12200,24,,,24,4,15.2,,12.8,,,,,6.5,,,,,,0,,
L1,12199,24,,,24,2,5.1,,6.9,,,,,2.5,,,,,,0,,
R1,12200,24,,,24,2,6.9,,8.8,,,,,4.5,,,,,,0,,
L1,12202,25,,,25,8,36,,18.5,,,,,10,,,,,,0,,
R1,12203,25,,,25,8,37.5,,18.9,,,,,11,,,,,,0,,
R2,12201,25,,,25,8,32.2,,18.2,,,,,10.5,,,,,,0,,
L1,12202,25,,,25,6,28.1,,16.8,,,,,10,,,,,,0,,
R1,12203,25,,,25,6,29,,16.8,,,,,10,,,,,,0,,
R2,12201,25,,,25,6,22.1,,14.9,,,,,8,,,,,,0,,
L1,12202,25,,,25,4,17.9,,13.8,,,,,7.5,,,,,,0,,
R1,12203,25,,,25,4,18.2,,13.7,,,,,8,,,,,,0,,
R2,12201,25,,,25,4,11.5,,10.2,,,,,5,,,,,,0,,
L1,12202,25,,,25,2,8,,9,,,,,4.5,,,,,,0,,
R1,12203,25,,,25,2,8.2,,9.1,,,,,4.5,,,,,,0,,
R2,12201,25,,,25,2,4.9,,8,,,,,4,,,,,,0,,
L1,12189,29,,,29,8,30.3,,16.5,,,,,10,,,,,,0,,
R1,12190,29,,,29,8,33.5,,18.3,,,,,10.5,,,,,,0,,
L1,12189,29,,,29,6,19,,13.9,,,,,7.5,,,,,,0,,
R1,12190,29,,,29,6,25,,16.1,,,,,9,,,,,,0,,
L1,12189,29,,,29,5,14.7,,11.9,,,,,6,,,,,,0,,
R1,12190,29,,,29,5,18.8,,14,,,,,8,,,,,,0,,
L1,12189,29,,,29,2,5.9,,7.4,,,,,3.5,,,,,,0,,
R1,12190,29,,,29,2,7.4,,8.9,,,,,4,,,,,,0,,
L1,12196,30,,,30,8,37,,18,,,,,10,,,,,,0,,
R1,12194,30,,,30,8,32.2,,17,,,,,8.5,,,,,,0,,
R2,12195,30,,,30,8,29.1,,16.3,,,,,8.5,,,,,,0,,
L1,12196,30,,,30,6,28.7,,16.1,,,,,9.5,,,,,,0,,
R1,12194,30,,,30,6,23.2,,14.1,,,,,7.5,,,,,,0,,
R2,12195,30,,,30,6,20.9,,13.8,,,,,7.5,,,,,,0,,
L1,12196,30,,,30,4,18.1,,13,,,,,6.5,,,,,,0,,
R1,12194,30,,,30,4,11.9,,10.5,,,,,5.5,,,,,,0,,
R2,12195,30,,,30,4,11.6,,10.3,,,,,5.5,,,,,,0,,
L1,12196,30,,,30,2,9.7,,9.4,,,,,4.5,,,,,,0,,
R1,12194,30,,,30,2,5.9,,6.7,,,,,3,,,,,,0,,
R2,12195,30,,,30,2,6,,7,,,,,3.5,,,,,,0,,
L1,12211,36,,,36,6,32.8,,17.9,,,,,11,,,,,,0,,
R1,12212,36,,,36,6,27.2,,16.5,,,,,9,,,,,,0,,
R2,12213,36,,,36,6,32.2,,18.5,,,,,11,,,,,,0,,
L1,12211,36,,,36,4,23.9,,15.5,,,,,9.5,,,,,,0,,
R1,12212,36,,,36,4,17.1,,13.6,,,,,7,,,,,,0,,
R2,12213,36,,,36,4,24.8,,16,,,,,9.5,,,,,,0,,
L1,12211,36,,,36,2,12.4,,11.8,,,,,7,,,,,,0,,
R1,12212,36,,,36,2,8.5,,9.9,,,,,4.5,,,,,,0,,
R2,12213,36,,,36,2,13.7,,12.4,,,,,6.5,,,,,,0,,
L1,12206,42,,,42,8,33,,18.5,,,,,11.5,,,,,,0,,
R1,12205,42,,,42,8,25,,14.5,,,,,7,,,,,,0,,
R2,12204,42,,,42,8,36.3,,18.9,,,,,11.5,,,,,,0,,
L1,12206,42,,,42,6,24.7,,16.4,,,,,10.5,,,,,,0,,
R1,12205,42,,,42,6,17.2,,12.7,,,,,4.5,,,,,,0,,
R2,12204,42,,,42,6,29.5,,17.1,,,,,10.5,,,,,,0,,
L1,12206,42,,,42,4,14.5,,12.7,,,,,6.5,,,,,,0,,
R1,12205,42,,,42,4,10.7,,9.7,,,,,4.5,,,,,,0,,
R2,12204,42,,,42,4,17.5,,13.5,,,,,7.5,,,,,,0,,
L1,12206,42,,,42,2,7.4,,8.4,,,,,4.5,,,,,,0,,
R1,12205,42,,,42,2,5.6,,6.9,,,,,2.5,,,,,,0,,
R2,12204,42,,,42,2,8.1,,9.3,,,,,4,,,,,,0,,
L1,12210,43,,,43,6,29.3,,18.1,,,,,11,,,,,,0,,
R1,12209,43,,,43,6,30.1,,18.3,,,,,10,,,,,,0,,
L1,12210,43,,,43,4,19,,14.3,,,,,8,,,,,,0,,
R1,12209,43,,,43,4,21.5,,15.5,,,,,7.5,,,,,,0,,
L1,12210,43,,,43,2,9.5,,10,,,,,5.5,,,,,,0,,
R1,12209,43,,,43,2,11.4,,11.6,,,,,5,,,,,,0,,
R1,NA,49,,,49,4,12,,11.3,,,,,4,,,,,,0,,
R1,NA,49,,,49,2,7.9,,9.8,,,,,4,,,,,,0,,
L1,NA,57,,,57,4,11.7,,11.1,,,,,4.5,,,,,,0,,
R1,NA,57,,,57,4,18,,14.2,,,,,8,,,,,,0,,
R2,NA,57,,,57,4,10.1,,10.7,,,,,5,,,,,,0,,
L1,NA,57,,,57,2,5.9,,7.7,,,,,3,,,,,,0,,
R1,NA,57,,,57,2,9,,10,,,,,4.5,,,,,,0,,
R2,NA,57,,,57,2,5.5,,7.2,,,,,3,,,,,,0,,
L1,12191,61,,,61,8,32.3,,17.9,,,,,10.5,,,,,,0,,
R1,12192,61,,,61,8,32.2,,17.3,,,,,10,,,,,,0,,
L1,12191,61,,,61,6,24.1,,14.9,,,,,9.5,,,,,,0,,
R1,12192,61,,,61,6,23.4,,15.6,,,,,8.5,,,,,,0,,
L1,12191,61,,,61,4,14.4,,12.1,,,,,5.5,,,,,,0,,
R1,12192,61,,,61,4,14,,12.2,,,,,6,,,,,,0,,
R1,,46069,,,,9,34.1,,17.6,,,,,10.7,,,,,,0,,
R2,,46069,,,,9,34.1,,17.8,,,,,10.4,,,,,,0,,
R1,,46069,,,,7,26.6,,15.8,,,,,9.4,,,,,,0,,
R2,,46069,,,,7,26.1,,15.6,,,,,9.1,,,,,,0,,
R1,,46069,,,,5,16.9,,12.7,,,,,6.8,,,,,,0,,
R2,,46069,,,,5,16.6,,12.5,,,,,7.1,,,,,,0,,
L1,,46069,,,,3,8.6,,9.7,,,,,4.5,,,,,,0,,
R1,,46069,,,,3,9.1,,9.4,,,,,4.2,,,,,,0,,
R2,,46069,,,,3,9,,9.5,,,,,6.2,,,,,,0,,
L1,,46097,,,,9,33.8,,17.7,,,,,11,,,,,,0,,
R1,,46097,,,,9,24.9,,14,,,,,4.9,,,,,,0,,
L1,,46097,,,,7,25.9,,15.7,,,,,9.4,,,,,,0,,
R1,,46097,,,,7,29.8,,12.6,,,,,4.9,,,,,,0,,
L1,,46097,,,,5,18.4,,13.6,,,,,7.6,,,,,,0,,
R1,,46097,,,,5,13.7,,11.7,,,,,4.6,,,,,,0,,
R2,,46097,,,,5,8.9,,8.4,,,,,2.7,,,,,,0,,
L1,,46097,,,,3,9.6,,9.8,,,,,4.8,,,,,,0,,
R1,,46097,,,,3,9.1,,10.1,,,,,4,,,,,,0,,
R2,,46097,,,,3,6,,7.2,,,,,2.4,,,,,,0,,
L1,,46281,,,,6,19.2,,13.9,,,,,6.2,,,,,,0,,
R1,,46281,,,,6,16.2,,13.2,,,,,6.4,,,,,,0,,
L1,,46281,,,,4,10.6,,9.9,,,,,4.6,,,,,,0,,
R1,,46281,,,,4,8.7,,9.1,,,,,3.8,,,,,,0,,
L1,,46281,,,,2,5.9,,7.5,,,,,2.9,,,,,,0,,
R1,,46281,,,,2,5.4,,7.4,,,,,2.5,,,,,,0,,
R2,,46281,,,,2,4.7,,5.7,,,,,1.7,,,,,,0,,
R1,,46311,,,,9,36.7,,17.7,,,,,11.6,,,,,,0,,
R1,,46311,,,,7,29.2,,16.2,,,,,10.5,,,,,,0,,
R1,,46311,,,,5,19.2,,12.2,,,,,6.9,,,,,,0,,
R1,,46311,,,,3,11.1,,10.2,,,,,5.6,,,,,,0,,
L1,,46372,,,,8,33.9,,17.1,,,,,10.4,,,,,,0,,
R1,,46372,,,,8,34.8,,17.9,,,,,10.3,,,,,,0,,
R2,,46372,,,,8,29.9,,16.4,,,,,10.3,,,,,,0,,
L1,,46372,,,,6,14.3,,15.6,,,,,8.9,,,,,,0,,
R1,,46372,,,,6,24.8,,15.6,,,,,9.2,,,,,,0,,
R2,,46372,,,,6,20.2,,14,,,,,7.9,,,,,,0,,
L1,,46372,,,,4,13.9,,12.3,,,,,6,,,,,,0,,
R1,,46372,,,,4,15,,12.7,,,,,6.1,,,,,,0,,
R2,,46372,,,,4,10.3,,10.6,,,,,4.8,,,,,,0,,
L1,,46372,,,,2,6.5,,7.7,,,,,4.2,,,,,,0,,
R1,,46372,,,,2,6.8,,8.8,,,,,4.2,,,,,,0,,
R2,,46372,,,,2,5.5,,7,,,,,3,,,,,,0,,
L1,,16-001-2,,,,6,23.3,,15.1,,,,,8,,,,,,0,,
R1,,16-001-2,,,,6,27.2,,15.5,,,,,8,,,,,,0,,
L1,,16-001-2,,,,4,13.7,,12,,,,,6.6,,,,,,0,,
R1,,16-001-2,,,,4,17.6,,13.4,,,,,6.6,,,,,,0,,
L1,,16-001-2,,,,2,6.2,,7.3,,,,,3.5,,,,,,0,,
R1,,16-001-2,,,,2,9.2,,10,,,,,4.5,,,,,,0,,
L1,,16-014-2,,,,6,25.9,,16,,,,,8.9,,,,,,0,,
R1,,16-014-2,,,,6,22,,14.9,,,,,8.8,,,,,,0,,
R2,,16-014-2,,,,6,26.6,,16,,,,,8.9,,,,,,0,,
L1,,16-014-2,,,,4,16.1,,12.9,,,,,6.5,,,,,,0,,
R1,,16-014-2,,,,4,11,,10.7,,,,,5.6,,,,,,0,,
R2,,16-014-2,,,,4,17,,12.5,,,,,6.7,,,,,,0,,
L1,,16-014-2,,,,2,7.6,,8.4,,,,,3.9,,,,,,0,,
R1,,16-014-2,,,,2,5,,7.4,,,,,3.1,,,,,,0,,
R2,,16-014-2,,,,2,7.8,,8.1,,,,,4.3,,,,,,0,,
R1,,16-029-2,,,,4,7.1,,8.5,,,,,2.4,,,,,,0,,
L1,,16-029-2,,,,2,5.8,,8.3,,,,,2.1,,,,,,0,,
R1,,16-029-2,,,,2,4.3,,6.2,,,,,2.3,,,,,,0,,
L1,,16-13,,,,8,32.8,,18.5,,,,,11.5,,,,,,0,,
R1,,16-13,,,,8,27.1,,15.9,,,,,9.4,,,,,,0,,
R2,,16-13,,,,8,31.9,,17.5,,,,,10.4,,,,,,0,,
L1,,16-13,,,,6,22.5,,15.9,,,,,9.3,,,,,,0,,
R1,,16-13,,,,6,16.2,,13,,,,,6.4,,,,,,0,,
R2,,16-13,,,,6,22.2,,15.2,,,,,7.9,,,,,,0,,
L1,,16-13,,,,4,12.4,,11.9,,,,,6.2,,,,,,0,,
R1,,16-13,,,,4,8.8,,9.3,,,,,4.2,,,,,,0,,
R2,,16-13,,,,4,12.8,,11.5,,,,,6.1,,,,,,0,,
L1,,16-13,,,,2,5.9,,7.9,,,,,3.4,,,,,,0,,
R1,,16-13,,,,2,4.8,,6.9,,,,,2.6,,,,,,0,,
R2,,16-13,,,,2,6,,7.9,,,,,3.2,,,,,,0,,
L1,,16-14,,,,8,32.6,,16.8,,,,,7.8,,,,,,0,,
L1,,16-14,,,,6,23.9,,14.9,,,,,8.5,,,,,,0,,
R1,,16-14,,,,6,26.5,,15.6,,,,,9.6,,,,,,0,,
L1,,16-14,,,,4,14.3,,11.5,,,,,6.1,,,,,,0,,
R1,,16-14,,,,4,15.6,,12.1,,,,,6.4,,,,,,0,,
L1,,16-14,,,,2,7.2,,8.5,,,,,4,,,,,,0,,
R1,,16-14,,,,2,7.7,,8.6,,,,,4,,,,,,0,,
L1,,16-16,,,,8,34,,17,,,,,11.1,,,,,,0,,
R1,,16-16,,,,8,32.1,,17.5,,,,,11.6,,,,,,0,,
L1,,16-16,,,,6,23.8,,14.4,,,,,9.5,,,,,,0,,
R1,,16-16,,,,6,22,,14.6,,,,,9.4,,,,,,0,,
L1,,16-16,,,,4,13.1,,11.3,,,,,5.6,,,,,,0,,
R1,,16-16,,,,4,11.5,,10.9,,,,,6,,,,,,0,,
L1,,16-16,,,,2,6,,7.6,,,,,2.1,,,,,,0,,
R1,,16-16,,,,2,5.7,,7.4,,,,,3.2,,,,,,0,,
L1,,16-18,,,,8,34,,18.6,,,,,11.5,,,,,,0,,
R1,,16-18,,,,8,32.3,,17.7,,,,,11.4,,,,,,0,,
L1,,16-18,,,,6,25.9,,16.5,,,,,10.4,,,,,,0,,
R1,,16-18,,,,6,23.1,,15.2,,,,,8.4,,,,,,0,,
L1,,16-18,,,,4,13.3,,11.6,,,,,6.4,,,,,,0,,
R1,,16-18,,,,4,12.1,,11.5,,,,,5.6,,,,,,0,,
L1,,16-18,,,,2,7.4,,9,,,,,4.2,,,,,,0,,
R1,,16-18,,,,2,5.9,,7.9,,,,,3.5,,,,,,0,,
L1,,16-19,,,,8,26.4,,15.8,,,,,9.3,,,,,,0,,
R1,,16-19,,,,8,35.2,,18.8,,,,,10.9,,,,,,0,,
R2,,16-19,,,,8,37,,19.2,,,,,11.1,,,,,,0,,
L1,,16-19,,,,6,16.7,,13.2,,,,,6.3,,,,,,0,,
R1,,16-19,,,,6,28,,16.9,,,,,10.5,,,,,,0,,
R2,,16-19,,,,6,28.9,,17.2,,,,,10.5,,,,,,0,,
L1,,16-19,,,,4,8.2,,9.2,,,,,3.5,,,,,,0,,
R1,,16-19,,,,4,17.2,,13.2,,,,,7.5,,,,,,0,,
R2,,16-19,,,,4,18,,14.3,,,,,7.8,,,,,,0,,
L1,,16-19,,,,2,4.5,,6.5,,,,,1.9,,,,,,0,,
R1,,16-19,,,,2,8.9,,9.9,,,,,4.2,,,,,,0,,
R2,,16-19,,,,2,9,,10,,,,,4.5,,,,,,0,,
R1,,16-23,,,,8,29.8,,15.8,,,,,9,,,,,,0,,
R1,,16-23,,,,6,21.1,,13.3,,,,,6.9,,,,,,0,,
R1,,16-23,,,,4,11.2,,10.1,,,,,4.8,,,,,,0,,
R1,,16-23,,,,2,6.2,,6.9,,,,,3,,,,,,0,,
L1,,16-24,,,,9,34.4,,17.9,,,,,11.6,,,,,,0,,
R1,,16-24,,,,9,33.6,,17.4,,,,,10.9,,,,,,0,,
L1,,16-24,,,,7,26.6,,16.5,,,,,10.2,,,,,,0,,
R1,,16-24,,,,7,23.9,,15.4,,,,,9.7,,,,,,0,,
L1,,16-24,,,,4,12.2,,12,,,,,6.2,,,,,,0,,
R1,,16-24,,,,4,11.9,,10.7,,,,,5.5,,,,,,0,,
L1,,16-24,,,,2,6.7,,9.1,,,,,3.4,,,,,,0,,
R1,,16-24,,,,2,6.5,,7.8,,,,,3.2,,,,,,0,,
L1,,16-25,,,,10,36.8,,18.7,,,,,12.2,,,,,,0,,
R1,,16-25,,,,10,33.2,,18.9,,,,,10.4,,,,,,0,,
R2,,16-25,,,,10,33.3,,19.1,,,,,10.9,,,,,,0,,
L1,,16-26,,,,10,29.4,,16.9,,,,,10.2,,,,,,0,,
R1,,16-26,,,,10,35.7,,17.8,,,,,11,,,,,,0,,
L1,,16-26,,,,8,20.4,,14.7,,,,,7,,,,,,0,,
R1,,16-26,,,,8,25.6,,15.5,,,,,9.6,,,,,,0,,
L1,,16-26,,,,6,12,,11,,,,,4.8,,,,,,0,,
R1,,16-26,,,,6,14.6,,12.5,,,,,6.5,,,,,,0,,
L1,,16-26,,,,4,5.9,,7.5,,,,,2.6,,,,,,0,,
R1,,16-26,,,,4,7.2,,8.8,,,,,3.9,,,,,,0,,
L1,,16-26,,,,2,3.8,,5.4,,,,,1.3,,,,,,0,,
R1,,16-26,,,,2,4,,5.7,,,,,1.7,,,,,,0,,
R2,,16-26,,,,2,5.1,,7.3,,,,,2.4,,,,,,0,,
R1,,16-27,,,,8,31,,17.4,,,,,10.2,,,,,,0,,
R1,,16-27,,,,6,21,,14.3,,,,,8.3,,,,,,0,,
R1,,16-27,,,,4,16.1,,13.5,,,,,7.4,,,,,,0,,
L1,,16-27,,,,2,5.9,,8,,,,,3.5,,,,,,0,,
R1,,16-27,,,,2,6.1,,7.8,,,,,3.6,,,,,,0,,
R2,,16-27,,,,2,4.6,,6.2,,,,,1.5,,,,,,0,,
R1,,16-28,,,,2,7.4,,9.6,,,,,4.5,,,,,,0,,
L1,,16-29,,,,8,31.2,,15.8,,,,,10,,,,,,0,,
R1,,16-29,,,,8,32.7,,16,,,,,10.4,,,,,,0,,
L1,,16-29,,,,6,13.2,,14,,,,,9.2,,,,,,0,,
R1,,16-29,,,,6,23.8,,13.4,,,,,8.3,,,,,,0,,
L1,,16-29,,,,4,12.3,,10.5,,,,,5.7,,,,,,0,,
R1,,16-29,,,,4,14,,11.2,,,,,6.3,,,,,,0,,
L1,,16-32,,,,8,31.8,,18.2,,,,,10.4,,,,,,0,,
R1,,16-32,,,,8,32.9,,17.6,,,,,10.4,,,,,,0,,
L1,,16-32,,,,6,21.1,,15.8,,,,,8.7,,,,,,0,,
R1,,16-32,,,,6,23.4,,15,,,,,8.7,,,,,,0,,
L1,,16-32,,,,4,12,,11.6,,,,,5.7,,,,,,0,,
R1,,16-32,,,,4,12.7,,11.5,,,,,6.1,,,,,,0,,
L1,,16-32,,,,2,5.8,,7.3,,,,,3.2,,,,,,0,,
R1,,16-32,,,,2,5.7,,7.4,,,,,3.3,,,,,,0,,
L1,,16-32-2,,,,8,30.2,,16.6,,,,,9,,,,,,0,,
L2,,16-32-2,,,,8,28,,15.6,,,,,6.8,,,,,,0,,
L1,,16-32-2,,,,6,22.8,,15.3,,,,,8.4,,,,,,0,,
L2,,16-32-2,,,,6,20.3,,14,,,,,6.4,,,,,,0,,
L1,,16-32-2,,,,4,13.5,,12.4,,,,,6.1,,,,,,0,,
L2,,16-32-2,,,,4,11.5,,11.1,,,,,4.9,,,,,,0,,
R1,,16-32-2,,,,4,11.1,,10.9,,,,,4.8,,,,,,0,,
R2,,16-32-2,,,,4,6.8,,7.7,,,,,2.3,,,,,,0,,
L1,,16-32-2,,,,2,6.4,,8.3,,,,,3.7,,,,,,0,,
L2,,16-32-2,,,,2,5.7,,7.9,,,,,3,,,,,,0,,
R1,,16-32-2,,,,2,5.4,,7.6,,,,,3.1,,,,,,0,,
R2,,16-32-2,,,,2,4.5,,6.5,,,,,2.1,,,,,,0,,
L1,,16-35,,,,8,31.8,,17.4,,,,,11,,,,,,0,,
R1,,16-35,,,,8,28.2,,15.8,,,,,8.9,,,,,,0,,
L1,,16-35,,,,6,20.9,,14.5,,,,,8.2,,,,,,0,,
R1,,16-35,,,,6,18.4,,12.7,,,,,6.5,,,,,,0,,
L1,,16-35,,,,4,12,,10.7,,,,,6.2,,,,,,0,,
R1,,16-35,,,,4,10.9,,9.7,,,,,4.7,,,,,,0,,
L1,,16-35,,,,2,6.1,,8,,,,,3.3,,,,,,0,,
R1,,16-35,,,,2,5.6,,7.6,,,,,1.9,,,,,,0,,
L1,,16-37,,,,8,31,,17.4,,,,,10.5,,,,,,0,,
R1,,16-37,,,,8,33,,17.8,,,,,10.6,,,,,,0,,
R2,,16-37,,,,8,28.7,,16.8,,,,,9.3,,,,,,0,,
L1,,16-37,,,,6,21.5,,15,,,,,8.1,,,,,,0,,
R1,,16-37,,,,6,22.5,,15.6,,,,,7.9,,,,,,0,,
R2,,16-37,,,,6,19.2,,14,,,,,6.6,,,,,,0,,
L1,,16-37,,,,4,12,,11.2,,,,,5.8,,,,,,0,,
R1,,16-37,,,,4,13.7,,11.5,,,,,5.9,,,,,,0,,
R2,,16-37,,,,4,9.9,,9.9,,,,,4.6,,,,,,0,,
L1,,16-37,,,,2,5.4,,6.9,,,,,3,,,,,,0,,
R1,,16-37,,,,2,5.8,,8.1,,,,,3.4,,,,,,0,,
R2,,16-37,,,,2,4.9,,7,,,,,2.4,,,,,,0,,
L1,,16-38,,,,8,30.7,,18.3,,,,,11.1,,,,,,0,,
R1,,16-38,,,,8,33.9,,18.5,,,,,11.8,,,,,,0,,
L1,,16-38,,,,6,21.9,,14.8,,,,,8.4,,,,,,0,,
R1,,16-38,,,,6,25.2,,16.4,,,,,10.3,,,,,,0,,
L1,,16-38,,,,4,12.5,,11.3,,,,,5.2,,,,,,0,,
R1,,16-38,,,,4,15.4,,13,,,,,7.2,,,,,,0,,
L1,,16-38,,,,2,5.9,,7.8,,,,,NA,,,,,,0,,
R1,,16-38,,,,2,7.2,,9.1,,,,,3.9,,,,,,0,,
R1,,16-40,,,,8,35.3,,17.8,,,,,12.9,,,,,,0,,
